"afd_Balten_2025_08" "afd_BeatrixVonStorch_2021_07" "afd_BeatrixVonStorch_2022_06" "afd_chrupalla_2024_10" "afd_chrupalla_2025_09" "afd_Gauland_2018_02" "afd_Gauland_Regierungserklärung2018_04" "afd_Malsack-Winkemann_2018_03" "afd_weidel_2018_01" "afd_weidel_2021_05" "dolchstoß_01" "dolchstoß_BrockhausArtikel_1930_03" "dolchstoß_Eiserne Blätter_1918_05" "dolchstoß_RedeNoske_1907_04" "dolchstoß_Wahlplakat1924_02"
"recht" 0 0 0.815217391304348 0 0 0 0.33112582781457 0.136054421768707 0.163800163800164 0 0.235478806907378 0 0.757575757575758 0 0
"seit" 0 0.168350168350168 0 0.226586102719033 0.204498977505112 0.092678405931418 0.22075055187638 0.136054421768707 0.163800163800164 0 0.0784929356357928 0 0 0 0
"allein" 0.284900284900285 0.336700336700337 0 0.0755287009063444 0 0.092678405931418 0.22075055187638 0.408163265306122 0.0819000819000819 0 0 0 0.757575757575758 0 0
"anderen" 0 0.168350168350168 0 0 0.102249488752556 0.278035217794254 0.22075055187638 0.272108843537415 0 0.134408602150538 0.0784929356357928 0 0 0.99009900990099 0
"gut" 0 0 0.271739130434783 0.151057401812689 0.102249488752556 0.185356811862836 0.22075055187638 0 0.245700245700246 0.134408602150538 0 0 0 0 0
"ihrem" 0.284900284900285 0 0.271739130434783 0 0.102249488752556 0.370713623725672 0.11037527593819 0.136054421768707 0.163800163800164 0 0 0 0.757575757575758 0 0
"kosten" 0.284900284900285 0 0 0.151057401812689 0 0.092678405931418 0.11037527593819 0.680272108843537 0 0.268817204301075 0 0 0 0 0
"milliarden" 0 0 0 0.226586102719033 0 0.092678405931418 0.11037527593819 0.54421768707483 0.0819000819000819 0.268817204301075 0 0 0 0 0
"nun" 0.56980056980057 0.168350168350168 0 0.151057401812689 0.408997955010225 0.092678405931418 0.11037527593819 0 0 0 0.0784929356357928 0 0 0 0
"oder" 0 0 0.271739130434783 0.226586102719033 0.102249488752556 0.185356811862836 0.11037527593819 0.272108843537415 0 0 0.156985871271586 0 0 0 0
"regierung" 0 0 0 0.0755287009063444 0.102249488752556 0.092678405931418 0 0.408163265306122 0.327600327600328 0.134408602150538 0.0784929356357928 0 0 0 0
"vom" 0 0 0.543478260869565 0.226586102719033 0 0.092678405931418 0.22075055187638 0 0.163800163800164 0 0.0784929356357928 0.36101083032491 0 0 0
"wieder" 0 0 0 0.302114803625378 0 0 0.22075055187638 0 0.163800163800164 0.268817204301075 0.156985871271586 0 0 0 0
"bevölkerung" 0 0 0 0.151057401812689 0 0.092678405931418 0 0.952380952380952 0 0 0.0784929356357928 0 0 0 0
"gibt" 0 0 0 0.0755287009063444 0.204498977505112 0 0.551876379690949 0.136054421768707 0 0 0 0 0.757575757575758 0.99009900990099 0
"kein" 0 0.505050505050505 0 0 0 0 0.22075055187638 0.136054421768707 0.163800163800164 0 0.235478806907378 0 0 0 0
"machen" 0.284900284900285 0 0.271739130434783 0.151057401812689 0 0.092678405931418 0.22075055187638 0 0.245700245700246 0 0 0 0 0 1.14942528735632
"müssen" 0.284900284900285 0 0 0.226586102719033 0.102249488752556 0 0.551876379690949 0.136054421768707 0 0 0 0 0 0 0
"sondern" 0 0.168350168350168 0 0.0755287009063444 0.102249488752556 0.278035217794254 0.11037527593819 0.136054421768707 0 0 0.0784929356357928 0.36101083032491 0.757575757575758 0 0
"viel" 0.56980056980057 0 0.271739130434783 0.0755287009063444 0.102249488752556 0.185356811862836 0.11037527593819 0 0.163800163800164 0 0.0784929356357928 0 0 0 0
"dafür" 0 0.168350168350168 0 0 0.306748466257669 0 0 0 0.40950040950041 0.134408602150538 0 0 0 0 0
"diesen" 0 0 0.543478260869565 0 0.102249488752556 0.185356811862836 0 0.136054421768707 0 0.53763440860215 0 0 0 0 0
"doch" 0 0 0.271739130434783 0 0 0 0 0 0.0819000819000819 0.134408602150538 0.392464678178964 0.36101083032491 0 0.99009900990099 0
"europa" 0 0 0 0.0755287009063444 0.102249488752556 0.092678405931418 0.441501103752759 0.136054421768707 0.163800163800164 0 0 0 0 0 0
"frage" 0.284900284900285 0 0 0.302114803625378 0 0.092678405931418 0.11037527593819 0 0.0819000819000819 0 0.156985871271586 0 0 0 0
"geehrte" 0.56980056980057 0 0 0.151057401812689 0.204498977505112 0 0 0.136054421768707 0.0819000819000819 0.268817204301075 0 0 0 0 0
"heimat" 0 0 0 0.0755287009063444 0 0.092678405931418 0 0 0 0 0.313971742543171 1.08303249097473 0.757575757575758 0 0
"ins" 0.284900284900285 0 0.271739130434783 0 0.102249488752556 0 0.11037527593819 0.136054421768707 0.0819000819000819 0 0.156985871271586 0 0 0.99009900990099 1.14942528735632
"kann" 0 0 0 0.0755287009063444 0.102249488752556 0.185356811862836 0.22075055187638 0 0.163800163800164 0.268817204301075 0 0 0 0 0
"lange" 0.284900284900285 0 0 0.0755287009063444 0.204498977505112 0 0.22075055187638 0.136054421768707 0.245700245700246 0 0 0 0 0 0
"man" 0 0 0 0.0755287009063444 0 0.185356811862836 0.441501103752759 0.136054421768707 0.0819000819000819 0.134408602150538 0 0 0 0 0
"merkel" 0 0 0 0 0.102249488752556 0.46339202965709 0.11037527593819 0 0.245700245700246 0 0 0 0 0 0
